"filename", "language", "XML", "Markdown", "Batch", "Java", "Java Properties", "YAML", "comment", "blank", "total"
"c:\UFMG\stock-trackr\.github\workflows\ci.yml", "YAML", 0, 0, 0, 0, 0, 19, 6, 10, 35
"c:\UFMG\stock-trackr\.mvn\wrapper\maven-wrapper.properties", "Java Properties", 0, 0, 0, 0, 2, 0, 0, 1, 3
"c:\UFMG\stock-trackr\README.md", "Markdown", 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\UFMG\stock-trackr\mvnw.cmd", "Batch", 0, 0, 118, 0, 0, 0, 51, 37, 206
"c:\UFMG\stock-trackr\pom.xml", "XML", 66, 0, 0, 0, 0, 0, 0, 4, 70
"c:\UFMG\stock-trackr\src\main\java\com\testsoftware\stocktrackr\Models\PaymentType.java", "Java", 0, 0, 0, 6, 0, 0, 0, 2, 8
"c:\UFMG\stock-trackr\src\main\java\com\testsoftware\stocktrackr\Models\Product.java", "Java", 0, 0, 0, 48, 0, 0, 3, 20, 71
"c:\UFMG\stock-trackr\src\main\java\com\testsoftware\stocktrackr\Models\Sale.java", "Java", 0, 0, 0, 51, 0, 0, 0, 18, 69
"c:\UFMG\stock-trackr\src\main\java\com\testsoftware\stocktrackr\Models\Stock.java", "Java", 0, 0, 0, 49, 0, 0, 0, 17, 66
"c:\UFMG\stock-trackr\src\main\java\com\testsoftware\stocktrackr\StocktrackrApplication.java", "Java", 0, 0, 0, 9, 0, 0, 0, 5, 14
"c:\UFMG\stock-trackr\src\main\resources\application.properties", "Java Properties", 0, 0, 0, 0, 0, 0, 0, 1, 1
"c:\UFMG\stock-trackr\src\test\java\com\testsoftware\stocktrackr\ProductTests.java", "Java", 0, 0, 0, 79, 0, 0, 0, 29, 108
"c:\UFMG\stock-trackr\src\test\java\com\testsoftware\stocktrackr\SaleTest.java", "Java", 0, 0, 0, 161, 0, 0, 0, 59, 220
"c:\UFMG\stock-trackr\src\test\java\com\testsoftware\stocktrackr\StockTests.java", "Java", 0, 0, 0, 121, 0, 0, 0, 55, 176
"Total", "-", 66, 1, 118, 524, 2, 19, 60, 258, 1048
